,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
17,11.0,8.0,20.0,7.0,16.0,8.0,11.0,15.0,8.0,8.0,7.0,20.0,12.0,13.0,14.0,9.0,3.0,11.0,18.0,3.0,23.0,5.0,12.0,8.0,13.0,8.0,17.0,10.0,15.0,17.0,25.0,21.0,3.0,15.0,44.0,6.0,14.0,7.0,10.0,14.0,27.0,35.0,9.0,14.0,0.0
18,13.0,12.0,28.0,9.0,15.0,8.0,8.0,13.0,4.0,6.0,10.0,10.0,18.0,19.0,15.0,11.0,3.0,11.0,16.0,8.0,26.0,1.0,12.0,12.0,9.0,11.0,20.0,10.0,9.0,18.0,28.0,20.0,8.0,10.0,31.0,9.0,22.0,7.0,15.0,12.0,18.0,39.0,10.0,12.0,0.0
19,14.0,16.0,29.0,9.0,10.0,5.0,12.0,12.0,14.0,7.0,9.0,14.0,19.0,15.0,12.0,7.0,7.0,9.0,14.0,5.0,23.0,5.0,12.0,10.0,8.0,10.0,25.0,13.0,9.0,15.0,32.0,21.0,6.0,13.0,38.0,8.0,17.0,7.0,8.0,9.0,12.0,30.0,7.0,11.0,0.0
20,11.0,9.0,32.0,13.0,18.0,9.0,9.0,20.0,15.0,13.0,13.0,9.0,22.0,14.0,8.0,7.0,6.0,9.0,50.0,26.0,18.0,7.0,12.0,13.0,17.0,13.0,23.0,12.0,49.0,18.0,22.0,17.0,8.0,11.0,55.0,12.0,13.0,13.0,18.0,19.0,38.0,27.0,8.0,15.0,0.0
21,12.0,7.0,47.0,11.0,18.0,10.0,5.0,18.0,15.0,13.0,14.0,6.0,25.0,9.0,9.0,9.0,7.0,10.0,42.0,26.0,24.0,15.0,16.0,17.0,13.0,12.0,20.0,13.0,48.0,15.0,26.0,15.0,5.0,11.0,67.0,7.0,10.0,9.0,15.0,15.0,26.0,34.0,4.0,8.0,0.0
22,16.0,11.0,62.0,7.0,13.0,11.0,8.0,26.0,15.0,10.0,13.0,9.0,22.0,15.0,8.0,9.0,9.0,14.0,42.0,24.0,16.0,7.0,15.0,10.0,15.0,14.0,26.0,14.0,56.0,21.0,23.0,17.0,11.0,14.0,66.0,12.0,15.0,9.0,13.0,21.0,45.0,25.0,8.0,7.0,0.0
23,11.0,9.0,38.0,12.0,8.0,9.0,11.0,23.0,15.0,13.0,13.0,3.0,19.0,14.0,6.0,11.0,10.0,13.0,34.0,24.0,13.0,9.0,19.0,12.0,15.0,10.0,23.0,9.0,40.0,18.0,18.0,13.0,8.0,11.0,55.0,6.0,14.0,13.0,15.0,14.0,30.0,30.0,11.0,6.0,0.0
24,17.0,20.0,4.0,22.0,13.0,14.0,23.0,12.0,32.0,45.0,23.0,19.0,17.0,14.0,11.0,11.0,25.0,16.0,24.0,4.0,14.0,21.0,15.0,6.0,25.0,12.0,18.0,14.0,16.0,24.0,19.0,24.0,11.0,14.0,7.0,16.0,15.0,19.0,10.0,20.0,31.0,17.0,23.0,20.0,0.0
25,18.0,27.0,9.0,19.0,17.0,14.0,22.0,18.0,23.0,39.0,21.0,16.0,20.0,13.0,19.0,16.0,14.0,14.0,21.0,5.0,15.0,20.0,17.0,9.0,34.0,10.0,25.0,19.0,9.0,22.0,16.0,23.0,8.0,15.0,7.0,21.0,20.0,12.0,14.0,26.0,29.0,18.0,19.0,16.0,0.0
26,14.0,12.0,4.0,9.0,11.0,17.0,19.0,19.0,18.0,33.0,16.0,15.0,20.0,15.0,9.0,13.0,18.0,8.0,14.0,8.0,22.0,17.0,14.0,11.0,26.0,12.0,14.0,13.0,8.0,23.0,19.0,24.0,11.0,10.0,11.0,13.0,6.0,16.0,17.0,16.0,18.0,14.0,23.0,16.0,0.0
27,18.0,14.0,3.0,17.0,19.0,12.0,20.0,24.0,18.0,41.0,22.0,19.0,16.0,13.0,16.0,13.0,20.0,15.0,13.0,6.0,20.0,18.0,16.0,10.0,26.0,15.0,22.0,17.0,9.0,26.0,15.0,22.0,10.0,15.0,9.0,16.0,13.0,17.0,15.0,19.0,30.0,17.0,24.0,16.0,0.0
28,14.0,4.0,0.0,8.0,4.0,11.0,9.0,7.0,11.0,6.0,5.0,8.0,16.0,12.0,9.0,5.0,0.0,5.0,13.0,9.0,17.0,4.0,8.0,6.0,9.0,8.0,6.0,5.0,10.0,11.0,11.0,12.0,8.0,11.0,10.0,14.0,10.0,15.0,4.0,11.0,10.0,12.0,12.0,14.0,0.0
29,8.0,5.0,1.0,1.0,4.0,10.0,11.0,9.0,10.0,8.0,5.0,6.0,17.0,9.0,14.0,12.0,0.0,10.0,9.0,5.0,12.0,5.0,10.0,4.0,8.0,4.0,6.0,8.0,9.0,10.0,12.0,8.0,6.0,9.0,7.0,10.0,12.0,13.0,5.0,8.0,6.0,15.0,8.0,13.0,0.0
30,6.0,2.0,3.0,7.0,2.0,12.0,8.0,8.0,7.0,6.0,5.0,6.0,22.0,9.0,11.0,10.0,0.0,3.0,12.0,5.0,11.0,6.0,10.0,6.0,9.0,6.0,4.0,6.0,10.0,8.0,9.0,12.0,5.0,8.0,3.0,13.0,11.0,13.0,3.0,11.0,4.0,12.0,6.0,13.0,0.0
31,9.0,3.0,3.0,4.0,5.0,14.0,9.0,11.0,8.0,2.0,4.0,7.0,15.0,12.0,8.0,9.0,1.0,5.0,10.0,8.0,15.0,3.0,8.0,11.0,9.0,7.0,3.0,6.0,10.0,9.0,9.0,8.0,6.0,13.0,12.0,11.0,10.0,11.0,5.0,9.0,4.0,13.0,8.0,14.0,0.0
32,8.0,4.0,11.0,3.0,6.0,4.0,2.0,10.0,8.0,5.0,5.0,5.0,12.0,6.0,10.0,3.0,2.0,6.0,21.0,9.0,8.0,8.0,5.0,8.0,7.0,7.0,8.0,8.0,37.0,6.0,19.0,9.0,5.0,4.0,7.0,3.0,5.0,4.0,7.0,5.0,14.0,18.0,3.0,8.0,0.0
33,2.0,3.0,14.0,0.0,4.0,2.0,2.0,4.0,6.0,1.0,5.0,5.0,10.0,2.0,7.0,2.0,1.0,4.0,23.0,6.0,7.0,3.0,1.0,6.0,4.0,4.0,5.0,3.0,32.0,4.0,17.0,7.0,3.0,3.0,9.0,5.0,3.0,2.0,6.0,4.0,14.0,11.0,4.0,4.0,0.0
34,4.0,4.0,5.0,4.0,7.0,4.0,2.0,8.0,4.0,3.0,3.0,4.0,9.0,4.0,5.0,2.0,4.0,1.0,22.0,6.0,9.0,1.0,7.0,5.0,7.0,3.0,1.0,6.0,33.0,5.0,16.0,5.0,5.0,2.0,12.0,7.0,3.0,4.0,5.0,1.0,12.0,12.0,3.0,5.0,0.0
35,1.0,6.0,9.0,2.0,2.0,6.0,3.0,8.0,7.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,2.0,2.0,13.0,11.0,8.0,2.0,4.0,5.0,8.0,3.0,3.0,6.0,37.0,6.0,14.0,7.0,0.0,2.0,10.0,3.0,5.0,3.0,5.0,2.0,10.0,17.0,8.0,2.0,0.0
36,16.0,7.0,11.0,14.0,10.0,13.0,19.0,20.0,14.0,19.0,17.0,7.0,19.0,15.0,18.0,11.0,5.0,10.0,19.0,8.0,22.0,3.0,14.0,9.0,9.0,10.0,12.0,13.0,11.0,12.0,8.0,17.0,7.0,9.0,12.0,9.0,16.0,9.0,9.0,13.0,14.0,10.0,15.0,18.0,0.0
37,9.0,11.0,15.0,11.0,11.0,9.0,13.0,16.0,11.0,10.0,15.0,8.0,20.0,17.0,17.0,9.0,7.0,11.0,21.0,10.0,23.0,4.0,11.0,5.0,14.0,6.0,17.0,12.0,8.0,12.0,11.0,16.0,5.0,8.0,17.0,9.0,15.0,8.0,7.0,17.0,18.0,21.0,15.0,13.0,0.0
38,14.0,15.0,15.0,7.0,15.0,11.0,16.0,32.0,10.0,22.0,19.0,12.0,12.0,14.0,13.0,9.0,5.0,10.0,16.0,6.0,19.0,7.0,25.0,10.0,10.0,7.0,17.0,13.0,8.0,16.0,17.0,19.0,7.0,12.0,19.0,11.0,21.0,13.0,9.0,17.0,14.0,15.0,12.0,17.0,0.0
39,13.0,10.0,21.0,13.0,13.0,11.0,11.0,19.0,11.0,15.0,10.0,8.0,19.0,19.0,10.0,5.0,6.0,15.0,21.0,2.0,21.0,3.0,13.0,8.0,10.0,5.0,18.0,16.0,7.0,14.0,10.0,24.0,6.0,9.0,11.0,12.0,18.0,10.0,10.0,24.0,13.0,12.0,13.0,10.0,0.0
40,23.0,14.0,7.0,23.0,15.0,19.0,15.0,25.0,11.0,18.0,9.0,20.0,18.0,16.0,19.0,13.0,12.0,25.0,30.0,17.0,15.0,17.0,19.0,19.0,14.0,17.0,21.0,17.0,11.0,16.0,16.0,19.0,11.0,10.0,3.0,13.0,12.0,29.0,12.0,16.0,20.0,16.0,11.0,16.0,0.0
41,22.0,12.0,5.0,14.0,17.0,11.0,12.0,21.0,14.0,18.0,7.0,18.0,17.0,14.0,21.0,13.0,12.0,16.0,27.0,14.0,17.0,13.0,14.0,21.0,16.0,14.0,22.0,16.0,13.0,16.0,18.0,21.0,12.0,10.0,1.0,12.0,12.0,26.0,16.0,21.0,21.0,12.0,10.0,20.0,0.0
42,20.0,13.0,6.0,18.0,21.0,15.0,15.0,24.0,7.0,16.0,9.0,18.0,16.0,18.0,20.0,18.0,17.0,25.0,24.0,20.0,18.0,24.0,20.0,19.0,7.0,10.0,18.0,21.0,16.0,9.0,18.0,18.0,13.0,12.0,6.0,6.0,15.0,27.0,18.0,17.0,20.0,12.0,9.0,20.0,0.0
43,25.0,13.0,6.0,13.0,22.0,15.0,12.0,16.0,10.0,22.0,17.0,15.0,19.0,23.0,22.0,17.0,15.0,24.0,22.0,14.0,13.0,22.0,20.0,20.0,9.0,13.0,21.0,15.0,15.0,11.0,21.0,16.0,8.0,13.0,6.0,15.0,8.0,25.0,18.0,20.0,20.0,16.0,4.0,17.0,0.0
44,13.0,16.0,17.0,17.0,4.0,12.0,8.0,25.0,10.0,10.0,17.0,16.0,14.0,7.0,18.0,13.0,12.0,5.0,12.0,3.0,22.0,3.0,22.0,11.0,16.0,8.0,23.0,19.0,4.0,27.0,21.0,11.0,7.0,14.0,31.0,12.0,19.0,6.0,6.0,19.0,17.0,19.0,13.0,14.0,0.0
45,20.0,20.0,16.0,13.0,5.0,10.0,10.0,27.0,19.0,12.0,24.0,13.0,21.0,5.0,17.0,16.0,11.0,3.0,16.0,2.0,31.0,2.0,17.0,10.0,12.0,11.0,22.0,14.0,7.0,25.0,11.0,18.0,6.0,17.0,34.0,8.0,17.0,8.0,4.0,21.0,22.0,14.0,18.0,15.0,0.0
46,12.0,14.0,19.0,12.0,4.0,6.0,7.0,28.0,9.0,9.0,12.0,15.0,18.0,8.0,18.0,15.0,11.0,4.0,6.0,3.0,29.0,7.0,12.0,10.0,16.0,8.0,20.0,13.0,10.0,25.0,26.0,13.0,7.0,9.0,33.0,12.0,18.0,10.0,6.0,16.0,18.0,22.0,21.0,17.0,0.0
