,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
17,11.0,20.0,24.0,17.0,24.0,28.0,24.0,17.0,13.0,15.0,29.0,33.0,27.0,21.0,23.0,19.0,25.0,17.0,11.0,19.0,28.0,24.0,9.0,21.0,22.0,27.0,12.0,26.0,43.0,24.0,18.0,19.0,16.0,27.0,19.0,13.0,20.0,24.0,7.0,8.0,18.0,4.0,11.0,20.0,0.0
18,14.0,15.0,11.0,14.0,80.0,28.0,7.0,17.0,24.0,18.0,14.0,24.0,12.0,20.0,15.0,13.0,3.0,19.0,9.0,7.0,20.0,11.0,7.0,14.0,17.0,7.0,4.0,12.0,21.0,18.0,6.0,17.0,16.0,6.0,20.0,2.0,9.0,12.0,2.0,18.0,16.0,3.0,14.0,7.0,0.0
19,1.0,4.0,6.0,3.0,9.0,13.0,6.0,8.0,7.0,4.0,15.0,4.0,7.0,7.0,5.0,12.0,21.0,5.0,4.0,5.0,2.0,14.0,4.0,6.0,11.0,8.0,4.0,0.0,9.0,6.0,5.0,17.0,2.0,12.0,4.0,14.0,12.0,2.0,5.0,3.0,8.0,1.0,5.0,4.0,0.0
20,7.0,4.0,12.0,4.0,4.0,9.0,12.0,8.0,9.0,6.0,14.0,6.0,9.0,7.0,2.0,7.0,14.0,9.0,6.0,11.0,6.0,5.0,29.0,11.0,13.0,6.0,10.0,6.0,8.0,7.0,7.0,4.0,9.0,14.0,8.0,13.0,26.0,6.0,13.0,6.0,10.0,6.0,8.0,13.0,0.0
21,17.0,13.0,19.0,14.0,19.0,34.0,32.0,26.0,13.0,54.0,29.0,38.0,13.0,24.0,19.0,21.0,35.0,20.0,17.0,24.0,32.0,44.0,17.0,15.0,10.0,10.0,11.0,17.0,25.0,15.0,11.0,26.0,15.0,26.0,27.0,20.0,42.0,15.0,17.0,8.0,22.0,6.0,22.0,4.0,0.0
22,3.0,12.0,10.0,9.0,10.0,16.0,9.0,5.0,9.0,15.0,10.0,21.0,16.0,15.0,8.0,13.0,17.0,16.0,11.0,13.0,16.0,7.0,6.0,11.0,16.0,11.0,8.0,7.0,18.0,12.0,14.0,9.0,7.0,31.0,12.0,15.0,8.0,15.0,7.0,3.0,18.0,7.0,9.0,15.0,0.0
23,8.0,14.0,11.0,8.0,7.0,24.0,16.0,4.0,7.0,20.0,22.0,18.0,13.0,11.0,9.0,14.0,26.0,8.0,11.0,13.0,14.0,8.0,18.0,11.0,20.0,11.0,8.0,7.0,10.0,10.0,9.0,15.0,10.0,28.0,13.0,34.0,18.0,6.0,12.0,10.0,10.0,10.0,10.0,7.0,0.0
24,20.0,9.0,12.0,6.0,5.0,20.0,8.0,4.0,8.0,15.0,26.0,18.0,28.0,19.0,8.0,20.0,20.0,19.0,11.0,13.0,14.0,26.0,20.0,13.0,21.0,10.0,19.0,7.0,27.0,9.0,17.0,10.0,17.0,20.0,19.0,43.0,13.0,5.0,15.0,14.0,23.0,12.0,14.0,12.0,0.0
25,10.0,3.0,9.0,2.0,2.0,12.0,3.0,0.0,3.0,11.0,12.0,20.0,6.0,3.0,1.0,7.0,12.0,2.0,2.0,3.0,2.0,4.0,19.0,7.0,9.0,2.0,2.0,1.0,11.0,4.0,3.0,6.0,6.0,4.0,4.0,13.0,50.0,2.0,13.0,1.0,5.0,9.0,8.0,8.0,0.0
26,6.0,13.0,10.0,14.0,20.0,23.0,7.0,38.0,19.0,5.0,13.0,14.0,19.0,17.0,29.0,15.0,20.0,18.0,27.0,21.0,18.0,18.0,8.0,14.0,22.0,8.0,17.0,18.0,14.0,24.0,14.0,23.0,9.0,14.0,7.0,6.0,13.0,23.0,18.0,9.0,10.0,3.0,5.0,29.0,0.0
